ConsecutiveNumber,CruiseID,StationID,Net_index,Date,Longitude,Latitude,target_organisms,target_org_code,Gear,operation_mode,sizerangeminimum_g,sizerangeMax_g,size_range_minimum_micron,size_range_maximum_micron,Catching_Depth_max_m,Catching_Depth_min_m,Biomass_determination,Contact_Person,filtered_volume_m3,day_night,SST_model,primprod,salinity,O2_dissolved,pH,chla_model,nitrate_model,silicate_model,SST_C_insitu,Temperature_C_insitu,Salinity_insitu,Oxygen__umol_kg_insitu,Chlorophyll__mg_m3_insitu,Nitrate__uM_L1_insitu,log_mm3_individual_insitu,-10.2041199826559,-9.90308998699194,-9.60205999132796,-9.30102999566398,-9,-8.69897000433602,-8.39794000867204,-8.09691001300806,-7.79588001734408,-7.4948500216801,-7.19382002601611,-6.89279003035213,-6.59176003468815,-6.29073003902417,-5.98970004336019,-5.68867004769621,-5.38764005203223,-5.08661005636825,-4.78558006070427,-4.48455006504029,-4.1835200693763,-3.88249007371232,-3.58146007804834,-3.28043008238437,-2.97940008672038,-2.6783700910564,-2.37734009539242,-2.07631009972843,-1.77528010406445,-1.47425010840047,-1.17322011273649,-0.872190117072509,-0.571160121408528,-0.270130125744547,0.0308998699194346,0.33192986558341,0.632959861247397,0.933989856911378,1.23501985257536,1.53604984823934,1.83707984390332,2.1381098395673,2.43913983523128,2.74016983089526,3.04119982655924,3.34222982222323,3.64325981788721,3.94428981355119,4.24531980921517,4.54634980487915,4.84737980054313,5.14840979620711,5.4494397918711,5.75046978753507,6.05149978325976,6.35252977892375,slope,Std.Error,minimum,maximum,comment,Conductivity_Mathilde,Salinity_Mathilde,Oxygen_Mathilde,AOU_Mathilde,MLD_Mathilde,Phosphates_Mathilde,Silicates_Mathilde,Temperature_Mathilde,Nitrates_Mathilde,Biomass_phytoplankton__ug_m3,,,,,,,,,,,,,
1,WHI_15,178_66,,1966-05-11,-17.32,31.68,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,500,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,20,299,36,5,8.2295,0.031102,0,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,4.97494888305664,36.7143898010254,0.233932763338089,-7.0977029800415,49.140682220459,0.0762932300567627,1.11672008037567,19.193000793457,0.299740046262741,NaN,,,
2,WHI_15,179_66,,1966-05-12,-18.8,27.5,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,500,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,21,346.21,36,5,8.2181,0.032963,0,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.13037776947021,36.8455123901367,0.23041695356369,-6.70388031005859,44.0632438659668,0.0589191243052483,0.449454247951508,20.2253913879394,0.00550839398056269,NaN,,,
3,WHI_15,180_I_66,,1966-05-13,-20.13,23.83,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,500,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,22,536.36,36,5,8.2091,0.041083,2,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.22074317932129,36.7814903259277,0.229024991393089,-7.64103317260742,41.7982749938965,0.0316283591091633,1.28224301338196,20.9892902374268,0.115632936358452,NaN,,,
4,WHI_15,180_II_66,,1966-05-13,-20.13,23.83,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,500,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,22,536.36,36,5,8.2091,0.041083,2,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.22074317932129,36.7814903259277,0.229024991393089,-7.64103317260742,41.7982749938965,0.0316283591091633,1.28224301338196,20.9892902374268,0.115632936358452,NaN,,,
5,WHI_15,181_66,,1966-05-14,-21.97,19.18,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,460,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,22.902,786.18,36,5,8.181,0.057419,2,2,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.18458127975464,36.3540115356445,0.225553035736084,-7.08523988723755,43.6200790405273,0.0843004658818245,0.515480041503906,21.5657997131348,0.162755951285362,NaN,,,
6,WHI_15,182_66,,1966-05-16,-23.9,10.77,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,300,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,26,562.67,35,4,8.2122,0.038341,0,2,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.5365800857544,35.8740119934082,0.206742331385612,-3.12461304664612,29.7363166809082,0.203046903014183,1.81970918178558,25.3628997802734,0.285669147968292,NaN,,,
7,WHI_15,183_66,,1966-05-17,-24.55,6.5,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,50,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,27,394.92,35,4,8.2535,0.036371,0,2,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.72297811508179,35.5065879821777,0.203508749604225,-7.4670820236206,27.3038425445557,0.0598177723586559,3.81843876838684,27.3165092468262,0.476390182971954,NaN,,,
8,WHI_15,184_66,,1966-05-17,-24.57,6.42,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,320,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,27,384.59,35,4,8.2537,0.035653,0,2,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.72297811508179,35.5065879821777,0.203508749604225,-7.4670820236206,27.3038425445557,0.0598177723586559,3.81843876838684,27.3165092468262,0.476390182971954,NaN,,,
9,WHI_15,185_66,,1966-05-18,-25.2,2.73,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,380,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,27,409,35,4,8.2337,0.038601,0,2,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.73835325241089,35.451488494873,0.204230606555939,-7.78479194641113,29.6315689086914,0.0449292100965977,3.14661860466003,28.1315898895264,0.308298826217651,NaN,,,
10,WHI_15,186_66,,1966-05-19,-25.97,-0.6,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,330,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,26,455,36,4,8.2222,0.042914,0,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.75695514678955,35.8488883972168,0.201768383383751,-3.44244146347046,32.2902412414551,0.0478338375687599,1.89168047904968,27.9108009338379,0.50375372171402,NaN,,,
11,WHI_15,187_66,,1966-05-20,-26.97,-4.43,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,320,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,27,343.76,36,4,8.242,0.03,0,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.81951761245728,35.9228897094727,0.198019221425057,-1.44663667678833,51.4577865600586,0.0683941915631294,0.800635933876038,28.0759086608887,1.41253137588501,NaN,,,
12,WHI_15,188_66,,1966-05-21,-27.65,-8.32,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,400,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,27,243.94,36,4,8.246,0.025967,0,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.85206031799316,36.3131904602051,0.195038855075836,-1.40736067295075,60.327091217041,0.0666566267609596,1.04690265655518,27.8429908752441,0.819259941577911,NaN,,,
13,WHI_15,189_66,,1966-05-22,-28.15,-12.48,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,160,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,26,164.66,36,4,8.2283,0.022978,0,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.86402034759521,36.8539123535156,0.194273725152016,3.07439994812012,61.7602882385254,0.0529901385307312,1.57902860641479,27.1313896179199,0.159956112504005,NaN,,,
14,WHI_15,190_66,,1966-05-23,-28.88,-16.4,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,660,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,25,141.84,37,4,8.2128,0.022,0,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.83642721176147,37.2306900024414,0.197014302015305,1.85656809806824,71.1017379760742,0.0864211469888687,1.73507344722748,26.4287090301514,0.211521565914154,NaN,,,
15,WHI_15,191_66,,1966-05-24,-30,-21,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,200,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,25,160.43,37,4,8.203,0.023,1,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.73750114440918,37.0359115600586,0.200586959719658,2.33831429481506,64.7911758422852,0.149204254150391,2.7071897983551,25.9438095092773,0.354791581630707,NaN,,,
16,WHI_15,192_66,,1966-05-25,-33.32,-22.97,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,180,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,25,202.92,36,4,8.1756,0.025,1,1,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.69251489639282,36.9206886291504,0.200872838497162,1.77984309196472,65.9364395141602,0.18136402964592,1.26411998271942,25.9244899749756,0.400998711585998,NaN,,,
17,WHI_15,193_66,,1966-05-26,-36.93,-24.55,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,160,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,24,211.42,36,4,8.1417,0.026,1,2,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.56231069564819,36.7311897277832,0.201330855488777,6.53426218032837,68.881950378418,0.238879442214966,0.820708513259888,24.9510002136231,0.288798689842224,NaN,,,
18,WHI_15,194_66,,1966-05-27,-40.87,-26.05,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,580,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,24,231,36,4,8.1495,0.028945,1,2,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.48467779159546,36.7183990478516,0.203050315380096,-0.310757994651794,73.6483154296875,0.124227873980999,3.42839598655701,24.2918090820312,0.205986201763153,NaN,,,
19,WHI_15,195_66,,1966-05-28,-44.92,-29.43,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,560,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,22,251.07,36,5,8.0887,0.032,1,3,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.25140190124512,36.4812889099121,0.220298171043396,-7.50916481018066,73.8502502441406,0.15697605907917,8.10508823394775,22.8010902404785,1.33558809757233,NaN,,,
20,WHI_15,196_66,,1966-05-29,-48.72,-31.27,mesopelagic,fish,1,MT1600,non-closing,fishing,at,depth,2,1000,,,580,,inferred,from,length,Henrike,Andresen/Heino,Fock,,,22,477,35,5,8.0465,0.039863,1,4,,,,,,,mm3,m-3,mm-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,,,,5.15540504455566,35.1366119384766,0.235144942998886,-7.65975093841553,91.0217056274414,0.164892166852951,9.75887775421143,21.893590927124,1.22432625293732,NaN,,,
