ConsecutiveNumber,CruiseID,StationID,Net_index,Date,Longitude,Latitude,target_organisms,target_org_code,Gear,operation_mode,size_range_minimum_g,size_range_maximum_g,size_range_minimum_micrometers,size_range_maximum_micrometers,Catching_Depth_max_m,Catching_Depth_min_m,Biomass_determination,Contact_Person,filtered_volume_m3,day_night,SST,primprod,salinity,O2_dissolved,pH,chla,nitrate,silicate,SST_C_insitu,Temperature__C_insitu,Salinity_insitu,Oxygen__umol_kg_insitu,Chlorophyll__mg_m_3_insitu,Nitrate__uM_L_1_insitu,g_C_individual,5.68E-14,1.14E-13,2.27E-13,4.55E-13,9.09E-13,1.82E-12,3.64E-12,7.28E-12,1.46E-11,2.91E-11,5.82E-11,1.16E-10,2.33E-10,4.66E-10,9.31E-10,0.00000000186,0.00000000373,0.00000000745,0.0000000149,0.0000000298,0.0000000596,0.000000119,0.000000238,0.000000477,0.000000954,0.00000191,0.00000381,0.00000763,0.0000153,0.0000305,0.000061,0.000122,0.000244,0.000488,0.000977,0.00195,0.00391,0.00781,0.0156,0.0313,0.0625,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,1020,NBSS_slope,Comment
1,WHI_15,178_66,,1966-05-11,-17.32,31.68,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,500,,inferred from length,Henrike Andresen/Heino Fock,,,20,299,36,5,8.22959,0.031325,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,WHI_15,179_66,,1966-05-12,-18.8,27.5,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,500,,inferred from length,Henrike Andresen/Heino Fock,,,21,346.252838,36,5,8.218388,0.032865,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,WHI_15,180_I_66,,1966-05-13,-20.13,23.83,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,500,,inferred from length,Henrike Andresen/Heino Fock,,,22,535.305176,36,5,8.209118,0.040864,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,WHI_15,180_II_66,,1966-05-13,-20.13,23.83,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,500,,inferred from length,Henrike Andresen/Heino Fock,,,22,535.305176,36,5,8.209118,0.040864,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,WHI_15,181_66,,1966-05-14,-21.97,19.18,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,460,,inferred from length,Henrike Andresen/Heino Fock,,,22.797747,874.156616,36,5,8.180449,0.058579,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WHI_15,182_66,,1966-05-16,-23.9,10.77,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,300,,inferred from length,Henrike Andresen/Heino Fock,,,26,565.65625,35,4,8.211918,0.038434,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WHI_15,183_66,,1966-05-17,-24.55,6.5,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,50,,inferred from length,Henrike Andresen/Heino Fock,,,27,394.926025,35,4,8.253045,0.036472,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WHI_15,184_66,,1966-05-17,-24.57,6.42,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,320,,inferred from length,Henrike Andresen/Heino Fock,,,27,384.722168,35,4,8.2536,0.035686,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WHI_15,185_66,,1966-05-18,-25.2,2.73,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,380,,inferred from length,Henrike Andresen/Heino Fock,,,27,408.995636,35,4,8.232843,0.038137,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WHI_15,186_66,,1966-05-19,-25.97,-0.6,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,330,,inferred from length,Henrike Andresen/Heino Fock,,,26,455.627686,36,4,8.221906,0.043021,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WHI_15,187_66,,1966-05-20,-26.97,-4.43,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,320,,inferred from length,Henrike Andresen/Heino Fock,,,27,344.254822,36,4,8.241796,0.030006,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WHI_15,188_66,,1966-05-21,-27.65,-8.32,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,400,,inferred from length,Henrike Andresen/Heino Fock,,,27,243.933914,36,4,8.246083,0.02598,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,WHI_15,189_66,,1966-05-22,-28.15,-12.48,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,160,,inferred from length,Henrike Andresen/Heino Fock,,,26,165.506989,36,4,8.228404,0.022983,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WHI_15,190_66,,1966-05-23,-28.88,-16.4,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,660,,inferred from length,Henrike Andresen/Heino Fock,,,25,141.86438,37,4,8.212871,0.022,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,WHI_15,191_66,,1966-05-24,-30,-21,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,200,,inferred from length,Henrike Andresen/Heino Fock,,,25,161.338791,37,4,8.202694,0.023,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,WHI_15,192_66,,1966-05-25,-33.32,-22.97,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,180,,inferred from length,Henrike Andresen/Heino Fock,,,25,203.040039,36,4,8.175505,0.025,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,WHI_15,193_66,,1966-05-26,-36.93,-24.55,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,160,,inferred from length,Henrike Andresen/Heino Fock,,,24,211.228928,36,4,8.142184,0.026,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WHI_15,194_66,,1966-05-27,-40.87,-26.05,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,580,,inferred from length,Henrike Andresen/Heino Fock,,,24,231.222229,36,4,8.149444,0.028965,1,2.004722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,WHI_15,195_66,,1966-05-28,-44.92,-29.43,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,560,,inferred from length,Henrike Andresen/Heino Fock,,,22,251.59935,36,5,8.088613,0.032,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,WHI_15,196_66,,1966-05-29,-48.72,-31.27,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,580,,inferred from length,Henrike Andresen/Heino Fock,,,22,476.909485,35,5,8.04658,0.039743,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,WHI_15,197_66,,1966-05-30,-52.55,-34.07,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,480,,inferred from length,Henrike Andresen/Heino Fock,,,18,1784.10999,33,5,8.047174,0.168572,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,WHI_23,7_I_68,,1968-01-21,-18.03,29.67,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,220,,inferred from length,Henrike Andresen/Heino Fock,,,21,309.344788,36,5,8.218564,0.031618,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,WHI_23,7_II_68,,1968-01-21,-18.08,29.57,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,360,,inferred from length,Henrike Andresen/Heino Fock,,,21,310.774933,36,5,8.218193,0.031912,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,WHI_23,8_I_68,,1968-01-22,-19.35,26.33,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,220,,inferred from length,Henrike Andresen/Heino Fock,,,22,403.940308,36,5,8.221096,0.032014,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,WHI_23,8_II_68,,1968-01-22,-19.37,26.3,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,360,,inferred from length,Henrike Andresen/Heino Fock,,,22,403.284546,36,5,8.221239,0.032042,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,WHI_23,8_III_68,,1968-01-22,-19.43,26.17,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,580,,inferred from length,Henrike Andresen/Heino Fock,,,22,401.748596,36,5,8.221272,0.032674,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,WHI_23,12_I_68,,1968-01-30,-23.08,12.27,mesopelagic fish,1,MT1600,non-closing fishing at depth,2,1000,,,200,,inferred from length,Henrike Andresen/Heino Fock,,,25,593.271423,35.989491,4,8.204266,0.040483,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
