,ConsecutiveNumber,CruiseID,StationID,Net_index,Date,Longitude,Latitude,target_organisms,target_org_code,Gear,operation_mode,sizerangeminimum_g,sizerangeMax_g,size_range_minimum_micron,size_range_maximum_micron,Catching_Depth_max_m,Catching_Depth_min_m,Biomass_determination,Contact_Person,filtered_volume_m3,day_night,SST_model,primprod,salinity,O2_dissolved,pH,chla_model,nitrate_model,silicate_model,SST_C_insitu,Temperature_C_insitu,Temperature_C_insitu_OK,Salinity_insitu,Oxygen__umol_kg_insitu,Chlorophyll__mg_m3_insitu,Nitrate__uM_L1_insitu,log_mm3_individual_insitu,X.10.2041199826559,X.9.90308998699194,X.9.60205999132796,X.9.30102999566398,X.9,X.8.69897000433602,X.8.39794000867204,X.8.09691001300806,X.7.79588001734408,X.7.4948500216801,X.7.19382002601611,X.6.89279003035213,X.6.59176003468815,X.6.29073003902417,X.5.98970004336019,X.5.68867004769621,X.5.38764005203223,X.5.08661005636825,X.4.78558006070427,X.4.48455006504029,X.4.1835200693763,X.3.88249007371232,X.3.58146007804834,X.3.28043008238437,X.2.97940008672038,X.2.6783700910564,X.2.37734009539242,X.2.07631009972843,X.1.77528010406445,X.1.47425010840047,X.1.17322011273649,X.0.872190117072509,X.0.571160121408528,X.0.270130125744547,X0.0308998699194346,X0.33192986558341,X0.632959861247397,X0.933989856911378,X1.23501985257536,X1.53604984823934,X1.83707984390332,X2.1381098395673,X2.43913983523128,X2.74016983089526,X3.04119982655924,X3.34222982222323,X3.64325981788721,X3.94428981355119,X4.24531980921517,X4.54634980487915,X4.84737980054313,X5.14840979620711,X5.4494397918711,X5.75046978753507,X6.05149978325976,X6.35252977892375,slope,Std.Error,minimum,maximum,comment,Conductivity_Mathilde,Salinity_Mathilde,Oxygen_Mathilde,AOU_Mathilde,MLD_Mathilde,Phosphates_Mathilde,Silicates_Mathilde,Temperature_Mathilde,Nitrates_Mathilde,Biomass_phytoplankton__ug_m3,target_target_org_code_code,SST,chla,nitrate,silicate,target.org.colour,slope.clean,new_slopes,rob_reg__slopes,p_values_olsr_slopes,r.square.olsr,ratio_slopes_rr_olsr
378,378,Abra�os 2,1,,2017-04-09,-34.8,-8.67,phytoplankton,4,Niskin Bottles,,NA,NA,0.5,150,1.99,NA,Estimated from Biovolume,Cristina Gonz�lez,NA,,27,348,36,4,8.142,0.031419,1,2,28.69,28.69,28.69,37.28,NA,0.17,0.2,mm3 m-3 mm-3,NA,61700000000,NA,19200000000,913980508.5,53504361.14,NA,NA,NA,NA,6000,NA,31000,500,2500,NA,5500,10500,44000,2500,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.30273,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.03,4,28.69,0.031419,1,2,Phytoplankton,-1.30273,-1.30273390516605,-1.30498885768735,4.9174080894506E-05,0.789526897120106,1.00173394155915
379,379,Abra�os 2,1,,2017-04-09,-34.8,-8.67,phytoplankton,4,Niskin Bottles,,NA,NA,0.5,150,39.77,NA,Estimated from Biovolume,Cristina Gonz�lez,NA,,27,348,36,4,8.142,0.031419,1,2,29.28,29.28,29.28,37.55,NA,0.89,0.2,mm3 m-3 mm-3,NA,NA,NA,1820991667,499304166.7,39085024.12,NA,NA,NA,NA,1000,NA,38000,4500,500,NA,27000,84500,21500,15000,3000,500,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.92809,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19,4,29.28,0.031419,1,2,Phytoplankton,-0.92809,-0.928087781359011,-0.961432219783016,0.000403627531290087,0.661454085766359,1.0359256319786
380,380,Abra�os 2,3,,2017-04-10,-35.39,-9.4,phytoplankton,4,Niskin Bottles,,NA,NA,0.5,150,1.99,NA,Estimated from Biovolume,Cristina Gonz�lez,NA,,27,423.36,36,4,8.1222,0.059733,0.7688,2,29.28,29.29,29.29,37.55,NA,0.9,0.1,mm3 m-3 mm-3,NA,NA,NA,122000000000,2014950000,665660377.4,NA,NA,NA,NA,2000,500,53000,NA,NA,NA,2000,9500,1109000,1500,14000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17269,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.12,4,29.28,0.059733,0.7688,2,Phytoplankton,-1.17269,-1.17269114258209,-1.22362680566303,0.0071323209576402,0.571205860948461,1.04343586596887
381,381,Abra�os 2,3,,2017-04-10,-35.39,-9.4,phytoplankton,4,Niskin Bottles,,NA,NA,0.5,150,17.9,NA,Estimated from Biovolume,Cristina Gonz�lez,NA,,27,423.36,36,4,8.1222,0.059733,0.7688,2,NA,28.49,28.49,37.32,NA,0.2,0.1,mm3 m-3 mm-3,NA,NA,NA,129000000000,1605975000,361080786,NA,NA,NA,NA,NA,NA,16500,NA,NA,NA,2000,3500,13882500,10500,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.20619,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.83,4,NA,0.059733,0.7688,2,Phytoplankton,-1.20619,-1.20618505943022,-1.29412636528181,0.00378626588662609,0.720837136210706,1.07290424003002
382,382,Abra�os 2,4,,2017-04-10,-35.08,-9.22,phytoplankton,4,Niskin Bottles,,NA,NA,0.5,150,31.82,NA,Estimated from Biovolume,Cristina Gonz�lez,NA,,27.021,430.82,36,4,8.1298,0.049519,1,2,28.28,28.28,28.28,37.44,NA,0.11,0.4,mm3 m-3 mm-3,NA,124000000000,NA,32400000000,1546125000,338307637.5,NA,NA,NA,NA,1500,NA,8500,NA,NA,NA,6500,22500,500,2000,12500,500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.27471,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.02,4,28.28,0.049519,1,2,Phytoplankton,-1.27471,-1.27471369784945,-1.31098090803556,1.83655412021491E-05,0.823479717684777,1.02845424295374
383,383,Abra�os 2,5,,2017-04-10,-34.77,-9.21,phytoplankton,4,Niskin Bottles,,NA,NA,0.5,150,49.71,NA,Estimated from Biovolume,Cristina Gonz�lez,NA,,27,310,36,4,8.1371,0.0279,1,2,28.28,25.23,25.23,37.35,NA,0,0.3,mm3 m-3 mm-3,NA,187000000000,NA,4135180693,376877227.7,318776850,NA,NA,NA,NA,5500,2000,29500,NA,NA,1000,6000,18000,500,6500,11500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2508,NA,NA,NA,,6.02379894256592,36.6397132873535,0.198461383581161,-8,51.5147438049316,0.171987488865852,2.23455190658569,28.4286098480225,0,12.88,4,28.28,0.0279,1,2,Phytoplankton,-1.2508,-1.25079726382609,-1.26900734360088,2.5800834174658E-05,0.78343230000913,1.01455655868315
384,384,Abra�os 2,5,,2017-04-10,-34.77,-9.21,phytoplankton,4,Niskin Bottles,,NA,NA,0.5,150,91.46,NA,Estimated from Biovolume,Cristina Gonz�lez,NA,,27,310,36,4,8.1371,0.0279,1,2,28.68,28.68,28.68,37.41,NA,0.15,0.3,mm3 m-3 mm-3,NA,156000000000,NA,NA,2503114286,149130434.8,NA,NA,NA,NA,1500,NA,19500,3000,1000,NA,4000,9000,6000,2000,13000,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.22735,NA,NA,NA,,6.02379894256592,36.6397132873535,0.198461383581161,-8,51.5147438049316,0.171987488865852,2.23455190658569,28.4286098480225,0,12.96,4,28.68,0.0279,1,2,Phytoplankton,-1.22735,-1.22734771737034,-1.24923659857521,0.000143569925040837,0.745349573029541,1.01783240198412
385,385,Abra�os 2,6,,2017-04-11,-34.59,-8.86,phytoplankton,4,Niskin Bottles,,NA,NA,0.5,150,24.86,NA,Estimated from Biovolume,Cristina Gonz�lez,NA,,27,346.02,36,4,8.1434,0.027716,1,2,NA,27.4,27.4,37.37,NA,0.26,0.5,mm3 m-3 mm-3,NA,120000000000,NA,1167490625,NA,615004071.9,NA,NA,NA,NA,1500,NA,15500,500,1000,2000,6000,25500,NA,12500,500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.26831,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.26,4,NA,0.027716,1,2,Phytoplankton,-1.26831,-1.26830703288138,-1.28251764508266,0.000140913161455198,0.746191718145692,1.01120202874902
386,386,Abra�os 2,8,,2017-04-11,-34.8,-8.71,phytoplankton,4,Niskin Bottles,,NA,NA,0.5,150,44.74,NA,Estimated from Biovolume,Cristina Gonz�lez,NA,,27,348,36,4,8.142,0.031419,1,2,28.3,28.3,28.3,37.44,NA,0.01,0.4,mm3 m-3 mm-3,NA,135000000000,NA,14800000000,1991513592,354607611.4,NA,NA,NA,NA,7500,2000,27500,1000,2000,NA,6500,23500,17000,4000,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.35481,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.55,4,28.3,0.031419,1,2,Phytoplankton,-1.35481,-1.35481172792474,-1.3551453553639,4.28562061881348E-05,0.764713427778096,1.00024752944243
387,387,Abra�os 2,13,,2017-04-13,-34.46,-8.32,phytoplankton,4,Niskin Bottles,,NA,NA,0.5,150,50,NA,Estimated from Biovolume,Cristina Gonz�lez,NA,,27,324.86,36,4,8.1528,0.02714,1,2,28.3,24.84,24.84,37.34,NA,NA,0.4,mm3 m-3 mm-3,NA,202000000000,NA,1017450000,339150000,183238915.8,NA,NA,NA,NA,1000,NA,16500,1000,500,500,3500,27500,NA,9000,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.31001,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.04,4,28.3,0.02714,1,2,Phytoplankton,-1.31001,-1.31001006275358,-1.31142406989579,0.000186441105144596,0.73328152030337,1.00107943442858
