"","ConsecutiveNumber","CruiseID","StationID","Net_index","Date","Longitude","Latitude","target_organisms","target_org_code","Gear","operation_mode","size_range_minimum_g","size_range_maximum_g","size_range_minimum_micrometers","size_range_maximum_micrometers","Catching_Depth_max_m","Catching_Depth_min_m","Biomass_determination","Contact_Person","filtered_volume_m3","day_night","SST","primprod","salinity","O2_dissolved","pH","chla","nitrate","silicate","SST_C_insitu","Temperature__C_insitu","Salinity_insitu","Oxygen__umol_kg_insitu","Chlorophyll__mg_m_3_insitu","Nitrate__uM_L_1_insitu","g_C_individual","X5.68E.14","X1.14E.13","X2.27E.13","X4.55E.13","X9.09E.13","X1.82E.12","X3.64E.12","X7.28E.12","X1.46E.11","X2.91E.11","X5.82E.11","X1.16E.10","X2.33E.10","X4.66E.10","X9.31E.10","X0.00000000186","X0.00000000373","X0.00000000745","X0.0000000149","X0.0000000298","X0.0000000596","X0.000000119","X0.000000238","X0.000000477","X0.000000954","X0.00000191","X0.00000381","X0.00000763","X0.0000153","X0.0000305","X0.000061","X0.000122","X0.000244","X0.000488","X0.000977","X0.00195","X0.00391","X0.00781","X0.0156","X0.0313","X0.0625","X0.125","X0.25","X0.5","X1","X2","X4","X8","X16","X32","X64","X128","X256","X512","X1020","NBSS_slope","Comment","Old_target_organisms","OKtarget_organisms","target_target_org_code_code","log10_1X_chla_insitu","target.org.colour","target_organisms_UVP_NET","slope.clean","new_slopes","rob_reg__slopes","p_values_olsr_slopes","r.square.olsr","ratio_slopes_rr_olsr"
"382","#REF!","Abra�os 2","15","","2017-04-14",-34.7625325,-7.7786417,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,16,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27.455303,361,36,"4",8.154499,0.097185,1,2,NA,29.21,37.25,NA,1.18,0.7,"gC m-3",NA,NA,NA,NA,NA,NA,NA,10000,NA,19000,NA,NA,4060,4390,578,1580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.610452056,"","Phytoplankton","phytoplankton","4",0.338456493604605,"forestgreen","phytoplankton",-1.610452056,-0.485081433074503,-0.485081433074503,0.0434879965710387,0.679833405497543,1
"398","#REF!","Abra�os 2","33","","2017-04-20",-35.5811598,-4.7279665,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,63,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,400.808044,36,"4",8.171537,0.035865,0,2,28.33,27.07,36.81,NA,0.67,0.2,"gC m-3",NA,NA,NA,NA,NA,NA,NA,24600,NA,41900,NA,NA,8110,15100,2880,5280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.53064333,"","Phytoplankton","phytoplankton","4",0.222716471147583,"forestgreen","phytoplankton",-1.53064333,-0.383355113594316,-0.383355113594316,0.0454714699040755,0.673110255780053,1
"422","#REF!","Abra�os 2","50","","2017-05-01",-32.5897387,-3.8540693,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,60,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,280.617676,36,"4",8.219131,0.030997,0,2,28.65,22,36.41,NA,0.36,0.1,"gC m-3",NA,NA,NA,NA,NA,NA,NA,66900,NA,43300,28500,NA,12600,11300,5200,1580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.571485843,"","Phytoplankton","phytoplankton","4",0.133538908370217,"forestgreen","phytoplankton",-1.571485843,-0.621661807055353,-0.563194449731976,0.00062064928100536,0.920622685331201,0.905949896455243
"430","#REF!","Abra�os 2","54","","2017-05-03",-34.7289712,-3.7616155,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,25,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,312,36,"4",8.187687,0.028721,0,2,28.78,28.78,35.97,NA,0.26,0.3,"gC m-3",NA,NA,NA,NA,NA,NA,NA,393000,NA,4260,NA,8000,10700,11300,578,1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.544076169,"","Phytoplankton","phytoplankton","4",0.100370545117563,"forestgreen","phytoplankton",-1.544076169,-0.873053885276941,-0.873053885276941,0.0274722441435147,0.654836414397144,1
"439","#REF!","Abra�os 2","58","","2017-05-05",-36.053157,-3.9335167,"phytoplankton",4,"Niskin Bottles","",NA,NA,0.5,150,75,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,371.342804,36,"4",8.16888,0.026353,0,2,28.77,25.39,36.99,NA,0.2,0.9,"gC m-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,70800,15800,34800,18100,1250,5780,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.714529631,"","Phytoplankton","phytoplankton","4",0.0791812460476248,"forestgreen","phytoplankton",-1.714529631,-1.03237613231467,-1.03237613231467,0.011054664210914,0.755572705860193,1
"446","#REF!","ACEx/SIMTECO","1","","2012-06-12",-45.5452,-25.9926,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,5,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",23.737293,489.927582,36,"5",8.08168,0.039216,1,4,21.81,21.81,36.1,NA,0.51,NA,"gC m-3",NA,NA,NA,NA,NA,NA,NA,76400000,7590000,1420000,7180000,2270000,2630000,1100000,347000,84500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.914018079,"","Phytoplankton","phytoplankton","4",0.178976947293169,"forestgreen","phytoplankton",-0.914018079,-0.914018079004246,-0.930281232304363,0.00123207847625857,0.795320535835965,1.01779303240679
"447","#REF!","ACEx/SIMTECO","5","","2012-06-13",-46.8607,-25.7867,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,5,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",23,727,35,"5",8.070063,0.055359,1,5,20.49,20.49,35.76,NA,0.33,NA,"gC m-3",NA,NA,NA,NA,NA,NA,NA,67900000,48000000,1940000,4190000,1480000,1490000,703000,278000,42200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.155653578,"","Phytoplankton","phytoplankton","4",0.123851640967086,"forestgreen","phytoplankton",-1.155653578,-1.15565357824078,-1.19895829070761,0.000125658978785843,0.892059167342536,1.03747205328845
"448","#REF!","ACEx/SIMTECO","7","","2012-06-13",-48.2371,-27.0009,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,5,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",22,1426.79724,35,"5",8.063722,0.08794,1,5,19.55,19.55,34.19,NA,1.46,NA,"gC m-3",NA,NA,NA,NA,NA,NA,NA,2.92e+08,269000000,17400000,22700000,1.1e+07,3030000,2220000,532000,253000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.313469918,"","Phytoplankton","phytoplankton","4",0.390935107103379,"forestgreen","phytoplankton",-1.313469918,-1.27513493965802,-1.28958887956803,4.39365023607156e-06,0.958265906325668,1.01133522379513
"449","#REF!","ACEx/SIMTECO","9","","2012-06-14",-46.8645,-27.0001,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,5,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",23,461.537323,35.985962,"5",8.072486,0.039887,1,4.024199,21.61,21.61,36.2,NA,0.57,NA,"gC m-3",NA,NA,NA,NA,NA,NA,NA,1.06e+08,80000000,6600000,6820000,17900000,2820000,2300000,763000,359000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.681216444,"","Phytoplankton","phytoplankton","4",0.195899652409234,"forestgreen","phytoplankton",-0.681216444,-0.955005632282249,-0.984568192503439,0.000181786532811222,0.880222978008548,1.03095537787619
"450","#REF!","ACEx/SIMTECO","12","","2012-06-14",-46.3285,-27.0011,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,5,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",24,408.346344,36,"5",8.077198,0.034025,1,4,23.18,23.18,37.08,NA,0.23,0.05,"gC m-3",NA,NA,NA,NA,NA,NA,NA,71300000,39100000,904000,6820000,3400000,717000,727000,185000,106000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.03978525,"","Phytoplankton","phytoplankton","4",0.0899051114393979,"forestgreen","phytoplankton",-1.03978525,-1.0774405468648,-1.18190829727883,0.000663502064529078,0.827758694837024,1.09695917859971
