"","X","ConsecutiveNumber","CruiseID","StationID","Net_index","Date","Longitude","Latitude","target_organisms","target_org_code","Gear","operation_mode","size_range_minimum_g","size_range_maximum_g","size_range_minimum_micrometers","size_range_maximum_micrometers","Catching_Depth_max_m","Catching_Depth_min_m","Biomass_determination","Contact_Person","filtered_volume_m3","day_night","SST","primprod","salinity","O2_dissolved","pH","chla","nitrate","silicate","SST_C_insitu","Temperature__C_insitu","Salinity_insitu","Oxygen__umol_kg_insitu","Chlorophyll__mg_m_3_insitu","Nitrate__uM_L_1_insitu","g_C_individual","X5.68E.14","X1.14E.13","X2.27E.13","X4.55E.13","X9.09E.13","X1.82E.12","X3.64E.12","X7.28E.12","X1.46E.11","X2.91E.11","X5.82E.11","X1.16E.10","X2.33E.10","X4.66E.10","X9.31E.10","X0.00000000186","X0.00000000373","X0.00000000745","X0.0000000149","X0.0000000298","X0.0000000596","X0.000000119","X0.000000238","X0.000000477","X0.000000954","X0.00000191","X0.00000381","X0.00000763","X0.0000153","X0.0000305","X0.000061","X0.000122","X0.000244","X0.000488","X0.000977","X0.00195","X0.00391","X0.00781","X0.0156","X0.0313","X0.0625","X0.125","X0.25","X0.5","X1","X2","X4","X8","X16","X32","X64","X128","X256","X512","X1020","NBSS_slope","Comment","Old_target_organisms","OKtarget_organisms","target_target_org_code_code","log10_1X_chla_insitu","target.org.colour","target_organisms_UVP_NET","slope.clean","slope_OSLR_max.to.NA","intercept_OSLR_max.to.NA","p_value_olsr","r.square.olsr","N.bins.used","x.value.of.maximum","rob_reg__slope","rob_reg_intercept","slope_ratio_OLSR_RR"
"66","1970","#REF!","sn010_2016_m130","1005","c_m130_034","16.09.08",-20.9998333333333,12,"zooplankton",3,"UVP","mounted on rosette",NA,NA,620,19000,1210,2,"Estimated from Biovolume","Rainer Kiko",2.77101,"Night",NA,NA,NA,NA,NA,NA,NA,NA,23.1661,9.25868539419087,35.0623838174274,87.7514771784232,NA,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755475204252057,16.1153075550158,10.290267368309,10.676890413818,14.9661417795793,6.94151589908029,2.1912312632432,3.7343737529321,1.82921704014562,1.78637079349256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.731356226,"","zooplankton","zooplankton",3,NA,"darkmagenta","UVP_zoopl",-0.731356226,-0.43282776902063,-0.689752477416234,0.000648082176490662,0.828886920721436,9,3.05e-05,-0.553907575776833,-0.806959840516746,1
"67","1974","#REF!","sn010_2016_m130","1019","c_m130_039","16.09.10",-22.9995,7.4995,"zooplankton",3,"UVP","mounted on rosette",NA,NA,620,19000,1212,2,"Estimated from Biovolume","Rainer Kiko",2.65518,"Day",NA,NA,NA,NA,NA,NA,NA,NA,27.8594,9.26195451532726,34.9632898094449,112.158516984258,NA,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.614595498749,3.02455740786814,4.57158963872403,8.56582011183104,5.83279954914286,1.74266942428924,0.702771178631007,1.17190342923262,NA,0.628623160355662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.774430509,"","zooplankton","zooplankton",3,NA,"darkmagenta","UVP_zoopl",-0.774430509,-0.446677334895074,-1.17801118449643,0.0217430175760067,0.612118969004266,8,1.53e-05,-0.669936985289626,-1.85904141739167,0.90336262307231
"68","1981","#REF!","sn010_2016_m130","1040","c_m130_046","16.09.11",-22.9993333333333,5.001,"zooplankton",3,"UVP","mounted on rosette",NA,NA,620,19000,4266,1,"Estimated from Biovolume","Rainer Kiko",3.01653,"Night",NA,NA,NA,NA,NA,NA,NA,NA,27.9152,4.8133609011969,34.9110468199953,207.031051396386,NA,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8806822782205,12.1377189585499,9.18031344590921,10.1382254577187,5.58991836687305,0.883606865092314,2.17260947013342,NA,1.68960959431669,0.5854229338608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.002672849,"","zooplankton","zooplankton",3,NA,"darkmagenta","UVP_zoopl",-1.002672849,-0.63000700878626,-1.69979270304451,0.00988106587543983,0.765874695332604,7,1.53e-05,-1.32817571127805,-3.54984674758738,0.843234081332391
"69","1982","#REF!","sn010_2016_m130","1042","c_m130_047","16.09.12",-22.9996666666667,4.501,"zooplankton",3,"UVP","mounted on rosette",NA,NA,620,19000,4165,2,"Estimated from Biovolume","Rainer Kiko",3.267,"Night",NA,NA,NA,NA,NA,NA,NA,NA,27.7871,4.83753789954338,34.9068798365777,207.593323720259,NA,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8613357898872,15.9768103679516,16.2359425554229,13.3646300217171,8.96670030587704,4.52669636690949,2.24869848793239,0.655843514233423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.125779957,"","zooplankton","zooplankton",3,NA,"darkmagenta","UVP_zoopl",-1.125779957,-0.651340785024603,-1.62402203423724,0.00104587802800213,0.853314656431735,8,1.53e-05,-0.638978359213797,-1.25952164611857,1.00439774443741
"70","1984","#REF!","sn010_2016_m130","1045","c_m130_049","16.09.12",-22.9996666666667,3.9995,"zooplankton",3,"UVP","mounted on rosette",NA,NA,620,19000,4262,1,"Estimated from Biovolume","Rainer Kiko",4.28571,"Day",NA,NA,NA,NA,NA,NA,NA,NA,27.6452,4.83394066243834,34.9169993657505,210.498447263331,NA,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.37460800384741,6.47837890518232,6.85456534753718,4.41555282905879,7.31057270271491,3.15067792758502,2.4553080597916,NA,NA,1.12648254888712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.615998869,"","zooplankton","zooplankton",3,NA,"darkmagenta","UVP_zoopl",-0.615998869,-0.260738184324671,-0.310672022690293,0.0190677885001964,0.699158239667283,7,1.53e-05,-0.175316738756378,0.390712589126641,1
"71","1988","#REF!","sn010_2016_m130","1054","c_m130_053","16.09.13",-23.0016666666667,1.99816666666667,"zooplankton",3,"UVP","mounted on rosette",NA,NA,620,19000,4370,1,"Estimated from Biovolume","Rainer Kiko",2.26215,"Day",NA,NA,NA,NA,NA,NA,NA,NA,26.5433,4.6216795095118,34.9034929406372,214.3747490259,NA,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2154113061914,14.6022012298834,14.2471860640914,4.00029836261717,11.7043334228181,4.91667886069276,0.904747041491827,0.920264083248522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.938464466,"","zooplankton","zooplankton",3,NA,"darkmagenta","UVP_zoopl",-0.938464466,-0.682624840686004,-1.81418538001848,0.00216937275163904,0.813994022583291,8,1.53e-05,-0.52748943347647,-1.2253552939587,0.967214388654573
"72","1989","#REF!","sn010_2016_m130","1055","c_m130_054","16.09.13",-23.0006666666667,1.668,"zooplankton",3,"UVP","mounted on rosette",NA,NA,620,19000,4185,2,"Estimated from Biovolume","Rainer Kiko",2.69181,"Day",NA,NA,NA,NA,NA,NA,NA,NA,26.2056,4.73804422386989,34.9043094714183,214.131722076058,NA,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9844150639046,16.2379757117847,17.8261815279378,10.9383907830684,4.73938970410119,3.26653707653311,1.35961488500954,3.46468689654751,0.77519511048187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.530894374,"","zooplankton","zooplankton",3,NA,"darkmagenta","UVP_zoopl",-0.530894374,-0.667344663636619,-1.63240730642267,0.00394673397097064,0.835860931991555,7,6.1e-05,-1.12607557508773,-3.11724926468215,1.04420872603781
"73","1990","#REF!","sn010_2016_m130","1056","c_m130_055","16.09.14",-23.001,1.334,"zooplankton",3,"UVP","mounted on rosette",NA,NA,620,19000,4358,1,"Estimated from Biovolume","Rainer Kiko",1.54737,"Night",NA,NA,NA,NA,NA,NA,NA,NA,25.95,4.60458790960452,34.9053512090396,216.319089265537,NA,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.663205390227,32.5748626105962,10.729472042472,9.03561536405185,17.2654753843014,7.28661951639566,5.81627983915323,1.25462158743519,0.997847272356056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.853908104,"","zooplankton","zooplankton",3,NA,"darkmagenta","UVP_zoopl",-0.853908104,-0.651100365113984,-1.44279874246266,0.000263284544060139,0.867069631239126,9,1.53e-05,-2.42880116726826,-7.39410327140186,1
"74","1991","#REF!","sn010_2016_m130","1058","c_m130_056","16.09.14",-23,1.00033333333333,"zooplankton",3,"UVP","mounted on rosette",NA,NA,620,19000,1211,1,"Estimated from Biovolume","Rainer Kiko",2.01366,"Night",NA,NA,NA,NA,NA,NA,NA,NA,25.9072,8.64900049668874,34.8647511589404,144.017756622517,NA,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5004509849883,10.3583278657146,13.9991407378362,17.3620300024666,8.60480912888813,3.15932591778716,4.39498522771539,2.05222730532972,1.07928645775672,1.29466750437466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.990425427,"","zooplankton","zooplankton",3,NA,"darkmagenta","UVP_zoopl",-0.990425427,-0.637308759637817,-1.37934169271817,0.0012016274675965,0.896989370966257,7,0.000122,-0.425687302463241,-0.924103679451327,0.999509559435647
"75","1992","#REF!","sn010_2016_m130","1059","c_m130_057","16.09.14",-23.0001666666667,1.00033333333333,"zooplankton",3,"UVP","mounted on rosette",NA,NA,620,19000,3223,2,"Estimated from Biovolume","Rainer Kiko",1.67211,"Day",NA,NA,NA,NA,NA,NA,NA,NA,25.913,5.48084175209692,34.912818639329,205.195442684063,NA,NA,"gC m-3 g-1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.63245411923227,29.1184855561341,19.9435793634854,21.4315727763936,16.6166592485647,13.4024713966486,8.60514406117322,3.95747196634293,5.68439868683692,6.46662342120862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.607405363,"","zooplankton","zooplankton",3,NA,"darkmagenta","UVP_zoopl",-0.607405363,-0.332280697558665,-0.0402985483295115,0.000443007723804139,0.84616884103993,9,3.05e-05,-0.552156182300291,-0.879642475347646,0.999999999999999
